TaxonName,RBL,IUCN,Percent_vert,Percent_nonvert,Diet,Diet_diversity,Body_size,Diet_breadth,Museum_Pub,N,Notes,Invert,Scav,Fruit,Nect,Seed,Plant,Vert,Diet_old,Diet_vert
Martes_foina,0.6851285,LC,70,30,meso,3,1540.8,,Slater&Friscia2019,U,,0,0,1,0,0,1,1,Meso,hyper
Eira_barbara,0.6870654,LC,90,10,hyper,2,3910.03,,Ely2019,15,Used Ely 2019 b/c biggest sample size,0,0,1,0,0,0,1,Hyper,hyper
Paracynictis_selousi,0.689,LC,40,60,hypo,2,1639.99,,Friscia2007,15,,1,0,0,0,0,0,1,Invert,meso
Canis_rufus,0.690713627,CR,100,NA,hyper,0,NA,****,XXXX,XXXX,"measured from dissertations specimens; previously C. lupus sbsp, diet C. lupus",,,,,,,,Hyper,hyper
Vulpes_corsac,0.693,LC,70,30,meso,2,2400,,Friscia2007,3,,0,0,0,0,0,1,1,Meso,hyper
Martes_americana,0.6960984,LC,70,30,meso,4,1250,,Ely2019,15,Used Ely 2019 b/c biggest sample size,1,1,1,0,0,0,1,Meso,hyper
Vulpes_lagopus,0.701449,LC,90,10,hyper,3,3584.37,,Slater&Friscia2019,U,Used Slater 2019 b/c other option was a dissertation,1,1,0,0,0,0,1,Hyper,hyper
Galictis_cuja,0.701609496,LC,60,40,meso,3,1000,,Ely2019,15,Mean,1,0,1,0,0,0,1,Meso,meso
Cynictis_penicillata,0.702,LC,10,90,hypo,2,836.01,,Friscia2007,11,,1,0,0,0,0,0,1,Invert,hypo
Suricata_suricatta,0.702,LC,20,80,hypo,3,725.5,,Friscia2007,8,,1,0,0,0,0,1,1,Invert,hypo
Mustela_lutreola,0.7025641,CR,80,20,hyper,2,440,,Slater&Friscia2019,U,,1,0,0,0,0,0,1,Meso,hyper
Mustela_kathiah,0.708238874,LC,100,0,hyper,1,208.08,,Ely2019,10,mean,0,0,0,0,0,0,1,Hyper,hyper
Vulpes_cana,0.712,LC,10,90,hypo,4,936.85,,Friscia2007,1,,1,0,1,0,0,1,1,Omn,meso
Mustela_africana,0.7131902,LC,100,0,hyper,1,536.99,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Mustela_eversmanii,0.713215,LC,100,0,hyper,1,1684.21,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Neovison_vison,0.7141165,LC,90,10,hyper,2,1150,,Ely2019,17,Used Ely 2019 b/c biggest sample size,1,0,0,0,0,0,1,Hyper,hyper
Mustela_frenata,0.71416535,LC,100,0,hyper,1,147,,Ely2019,15,,0,0,0,0,0,0,1,Hyper,hyper
Martes_melampus,0.715392782,LC,30,70,hypo,3,1000,,Ely2019,2,mean,1,0,1,0,0,0,1,Omn,hypo
Galictis_vittata,0.718449276,LC,60,40,meso,3,3200,,Ely2019,15,Mean,1,0,1,0,0,0,1,Meso,meso
Martes_flavigula,0.719818617,LC,80,20,hyper,3,1842.5,,Ely2019,15,mean,1,0,1,0,0,0,1,Meso,hyper
Canis_lupus,0.72,LC,100,0,hyper,1,32183.33,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Lycaon_pictus,0.72,EN,100,0,hyper,1,22050.07,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Poecilogale_albinucha,0.721961839,LC,90,10,hyper,2,340,,Ely2019,15,mean,1,0,0,0,0,0,1,Hyper,hyper
Atilax_paludinosus,0.725,LC,60,40,meso,2,3299.97,,Slater&Friscia2019,U,,1,0,0,0,0,0,1,Meso,meso
Herpestes_ichneumon,0.726,LC,60,40,meso,3,5174.98,,Friscia2007,13,,1,0,1,0,0,0,1,Meso,meso
Mustela_erminea,0.7268221,LC,90,10,hyper,2,119.38,,Ely2019,15,Used Ely 2019 b/c biggest sample size,1,0,0,0,0,0,1,Hyper,hyper
Mellivora_capensis,0.7272771,LC,70,30,meso,4,8500,,Ely2019,15,Used Ely 2019 b/c biggest sample size,1,1,0,0,0,1,1,Meso,hyper
Martes_martes,0.727292235,LC,60,40,meso,2,1300,,Ely2019,4,mean,0,0,1,0,0,0,1,Meso,meso
Mustela_altaica,0.7283157,NT,100,0,hyper,1,171,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Mustela_nivalis,0.7287199,LC,100,0,hyper,1,103.88,,Ely2019,14,Used Ely 2019 b/c biggest sample size,0,0,0,0,0,0,1,Hyper,hyper
Martes_pennanti,0.7292458,LC,100,0,hyper,2,4000,,Ely2019,13,Used Ely 2019 b/c biggest sample size,0,1,0,0,0,0,1,Hyper,hyper
Mustela_sibirica,0.730310201,LC,100,0,hyper,1,405,,Ely2019,15,mean,0,0,0,0,0,0,1,Hyper,hyper
